,multi_top_bottom,multi_inside_outside,multi_us_them,multi_today_tomorrow,single_top_bottom,single_inside_outside,single_us_them,single_today_tomorrow
0.95,543 (3.13%),45 (0.26%),-,-,248 (1.43%),-,-,-
0.9,"1,141 (6.57%)",101 (0.58%),-,-,680 (3.92%),-,-,-
0.8,"2,418 (13.92%)",219 (1.26%),1 (0.01%),-,"1,592 (9.17%)",-,-,-
0.7,"3,349 (19.28%)",363 (2.09%),7 (0.04%),-,"3,059 (17.61%)",-,-,-
0.6,"4,097 (23.59%)",498 (2.87%),14 (0.08%),-,"5,767 (33.20%)",-,-,-
0.5,"4,744 (27.31%)",640 (3.68%),28 (0.16%),-,"9,032 (52.00%)",-,-,-
0.4,"5,471 (31.50%)",836 (4.81%),48 (0.28%),1 (0.01%),"12,727 (73.28%)",205 (1.18%),-,-
0.3,"6,341 (36.51%)","1,129 (6.50%)",99 (0.57%),1 (0.01%),"16,769 (96.55%)","2,378 (13.69%)",1 (0.01%),-
