,multi_top_bottom,multi_inside_outside,multi_us_them,multi_today_tomorrow,single_top_bottom,single_inside_outside,single_us_them,single_today_tomorrow
0.95,"4,013 (1.22%)",215 (0.07%),1 (0.00%),-,"1,936 (0.59%)",-,-,-
0.9,"14,700 (4.46%)",671 (0.20%),9 (0.00%),-,"5,913 (1.79%)",-,-,-
0.8,"35,511 (10.77%)","1,909 (0.58%)",93 (0.03%),-,"14,480 (4.39%)",-,-,-
0.7,"48,578 (14.73%)","5,166 (1.57%)",230 (0.07%),2 (0.00%),"30,030 (9.10%)",-,-,-
0.6,"57,814 (17.53%)","8,290 (2.51%)",368 (0.11%),56 (0.02%),"71,298 (21.61%)",-,-,-
0.5,"66,738 (20.23%)","11,700 (3.55%)",596 (0.18%),63 (0.02%),"120,453 (36.52%)",-,-,-
0.4,"76,252 (23.12%)","15,595 (4.73%)","1,293 (0.39%)",76 (0.02%),"186,857 (56.65%)","1,901 (0.58%)",-,-
0.3,"88,245 (26.75%)","21,022 (6.37%)","3,760 (1.14%)",88 (0.03%),"301,955 (91.54%)","40,401 (12.25%)",10 (0.00%),-
