,multi_top_bottom,multi_inside_outside,multi_us_them,multi_today_tomorrow,single_top_bottom,single_inside_outside,single_us_them,single_today_tomorrow
0.95,"2,011 (1.08%)",68 (0.04%),1 (0.00%),-,916 (0.49%),-,-,-
0.9,"7,614 (4.09%)",284 (0.15%),6 (0.00%),-,"3,304 (1.78%)",-,-,-
0.8,"17,009 (9.14%)",888 (0.48%),24 (0.01%),-,"8,229 (4.42%)",-,-,-
0.7,"23,598 (12.69%)","2,801 (1.51%)",129 (0.07%),1 (0.00%),"15,695 (8.44%)",-,-,-
0.6,"28,087 (15.10%)","4,305 (2.31%)",163 (0.09%),3 (0.00%),"32,751 (17.61%)",-,-,-
0.5,"32,549 (17.50%)","5,943 (3.20%)",252 (0.14%),8 (0.00%),"58,415 (31.41%)",-,-,-
0.4,"37,048 (19.92%)","7,737 (4.16%)",503 (0.27%),11 (0.01%),"97,209 (52.26%)","1,034 (0.56%)",-,-
0.3,"42,984 (23.11%)","10,249 (5.51%)","2,063 (1.11%)",18 (0.01%),"167,608 (90.11%)","24,887 (13.38%)",6 (0.00%),-
